Year,Quarter,Module Code,Module Name
1,A,B100,Computer Programming
1,A,B101,Data Structures & Algorithms
1,A,B103,Databases & Big Data
1,B,B125,Mathematical Foundations
1,B,B117,Foreign Language
1,C,B201,Computer Science Lab
1,C,B113,Project Management
1,C,B124,Academic Writing & Research Methods
1,D,B119,Creative Problem Solving & Strategy Development
1,D,B123,Statistics
2,A,B112,Sustainability Management
2,A,B202,Advanced Programming
2,A,B109,Digital Transformation & Cases
2,B,B114,Innovation Management in a Digital and Globalised World
2,B,B203,Software Engineering
2,B,B204,App & Web Development
2,C,B205,Computer Networks
2,C,B206,Operating Systems
2,C,B207,Cyber Security
2,D,B104,Artificial Intelligence & Machine Learning
2,D,B105,Applied Statistical Modelling
3,A,B198c8,End-to-End Computer Science Project
3,A,B198c6,Data Driven Business Models
3,B,B198c3,Business Start-up Simulation
3,B,B198c7,AI Applications for Digital Business
3,C,B120,Internship
3,D,B199,Bachelor Thesis
