Year,Quarter,Module Code,Module Name
1,A,M601,Advanced Mathematics
1,A,M609,Scientific Work for Computer Science
1,A,M502,Project Management
1,B,M625,Software-Centric Programming
1,B,M605,Advanced Databases
1,B,M603,Advanced Algorithms
1,C,M626,Software System Architectures
1,C,M627,Cloud Computing
1,C,M628,Web Application Engineering
1,D,M501,Innovation Management and Digital Transformation
1,D,M503,Behavioral Competencies in Virtual Teams
1,D,M511,"CSR, ESG & Ethics"
2,A,M638,Computer Science Seminar
2,A,M608,Business Project in Computer Science
2,A,M514,"Internship, Study Abroad, or Career Development Semester"
2,B,M514,"Internship, Study Abroad, or Career Development Semester"
2,C,M513,Research Seminar
2,C,M599,Master Thesis
2,D,M599,Master Thesis
