Year,Quarter,Module Code,Module Name
1,A,B111,Fundamentals of Marketing
1,A,B112,Sustainability Management
1,A,B109,Digital Transformation & Cases
1,B,B114,Innovation Management in a Digital and Globalised World
1,B,B117,Foreign Language
1,B,B122,Business Mathematics
1,C,B115,Digital Marketing Methods
1,C,B113,Project Management
1,C,B124,Academic Writing & Research Methods
1,D,B119,Creative Problem Solving & Strategy Development
1,D,B123,Statistics
2,A,B198c6,Data Driven Business Models
2,A,B149,Customer Behaviour
2,A,B150,Market Research & Data Analytics
2,B,B137,HR Management
2,B,B136,Financial & Cost Accounting
2,B,B118,Intercultural Skills & Ethics
2,C,B151,Social Media Marketing
2,C,B152,Digital Customer Experience Management
2,C,B153,Digital Brand Management
2,D,B110,Economics & Digital Economics
2,D,B116,Leadership in a Digitalized and Globalized World
2,D,B139,Fundamentals of Strategic Management
3,A,B198c12,Marketing Campaign Studio
3,A,B198c2,Electives in Digital Skills
3,B,B198c3,Business Start-up Simulation
3,B,B198c4,Foreign Language II
3,C,B120,Internship
3,D,B120,Internship
3,D,B199,Bachelors Thesis
