Year,Quarter,Module Code,Module Name
1,A,B114,Innovation Management in a Digital and Globalised World
1,A,B111,Fundamentals of Marketing
1,A,B109,Digital Transformation & Cases
1,B,B112,Sustainability Management
1,B,B117,Foreign Language
1,B,B122,Business Mathematics
1,C,B119,Creative Problem Solving & Strategy Development
1,C,B124,Academic Writing & Research Methods
1,D,B115,Digital Marketing Methods
1,D,B113,Project Management
1,D,B123,Statistics
2,A,B198c6,Data Driven Business Models
2,A,B160,Agile Operations
2,A,B198c3,Business Start-up Simulation
2,B,B137,HR Management
2,B,B136,Financial & Cost Accounting
2,B,B118,Intercultural Skills & Ethics
2,C,B161,Entrepreneurship & Business Modelling
2,C,B162,Pitch Training
2,C,B140,Finance & Investment
2,D,B110,Economics & Digital Economics
2,D,B116,Leadership in a Digitalized and Globalized World
2,D,B139,Fundamentals of Strategic Management
3,A,B198c13,Incubation SandBox
3,A,B198c2,Electives in Digital Skills
3,B,B198c14,Ventue Capital
3,B,B198c4,Foreign Language II
3,C,B120,Internship
3,D,B120,Internship
3,D,B199,Bachelors Thesis
